,Unnamed: 0,French,English
0,0,partie,part
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,29,place,square
28,30,parle,speak
29,31,compris,understood
30,32,savais,knew
31,33,étaient,were
32,34,attention,Warning
33,35,voici,here is
34,36,pourrais,could
35,37,affaire,case
36,38,donner,give
37,39,type,type
38,40,leurs,their
39,41,donné,given
40,42,train,train
41,43,endroit,place
42,44,yeux,eyes
43,45,façon,way
44,46,écoute,listen
45,48,trouve,find
46,49,premier,first
47,50,perdu,lost
48,51,main,hand
49,52,première,first
50,53,côté,side
51,54,pouvoir,power
52,55,vieux,old
53,56,sois,be
54,57,tiens,here
55,58,matin,morning
56,59,tellement,so much
57,60,enfant,child
58,61,point,point
59,62,venu,came
60,63,suite,after
61,64,pardon,sorry
62,65,venez,come
63,66,devant,in front of
64,67,vers,towards
65,68,minutes,minutes
66,69,demandé,request
67,70,chambre,bedroom
68,71,mis,placed
69,72,belle,beautiful
70,73,droit,law
71,74,aimerais,would like to
72,75,aujourd'hui,today
73,76,mari,husband
74,77,cause,cause
75,78,enfin,finally
76,79,espère,hope
77,80,eau,water
78,81,attendez,Wait
79,82,parti,left
80,83,nouvelle,new
81,84,boulot,job
82,85,arrêter,Stop
83,86,dirait,would say
84,87,terre,Earth
85,88,compte,account
86,89,donne,given
87,90,loin,far
88,91,fin,end
89,92,croire,believe
90,93,chérie,sweetheart
91,94,gros,large
92,95,plutôt,rather
93,96,aura,will have
94,97,filles,girls
95,98,jouer,to play
96,99,bureau,office
